Date,Open,High,Low,Close,Adj Close,Volume
1993-08-31,16.884155,16.940624,16.601812,16.771219,8.780695,340232
1993-09-01,16.658281,16.658281,16.432405,16.658281,8.721565,266519
1993-09-02,16.601812,16.601812,16.206532,16.319469,8.544175,574654
1993-09-03,16.150063,16.206532,15.924188,15.980656,8.366791,231544
1993-09-07,16.093594,16.093594,15.754781,15.811250,8.278097,293747
1993-09-08,15.867719,15.867719,15.472438,15.585375,8.159833,333149
1993-09-09,15.359500,15.811250,15.303031,15.811250,8.278097,254566
1993-09-10,15.811250,16.150063,15.754781,16.150063,8.455482,256336
1993-09-13,16.206532,16.206532,16.150063,16.206532,8.485044,643940
1993-09-14,16.093594,16.375938,16.037125,16.093594,8.425918,172662
1993-09-15,16.150063,16.150063,16.037125,16.093594,8.425918,373437
1993-09-16,15.980656,16.093594,15.980656,15.980656,8.366791,125955
1993-09-17,15.811250,15.867719,15.698313,15.867719,8.307657,435196
1993-09-20,15.698313,15.980656,15.641844,15.867719,8.307657,308799
1993-09-21,15.811250,15.867719,15.585375,15.811250,8.278097,70614
1993-09-22,15.924188,16.037125,15.867719,15.980656,8.366791,1021140
1993-09-23,15.980656,16.037125,15.641844,15.698313,8.218966,320753
1993-09-24,15.698313,15.754781,15.641844,15.754781,8.248528,179745
1993-09-27,15.811250,15.867719,15.698313,15.867719,8.307657,125512
1993-09-28,15.924188,15.980656,15.811250,15.924188,8.337225,231987
1993-09-29,15.698313,16.037125,15.698313,15.811250,8.278097,430548
1993-09-30,15.811250,15.867719,15.698313,15.867719,8.307657,614056
1993-10-01,15.867719,15.924188,15.698313,15.924188,8.337225,283343
1993-10-04,15.811250,15.924188,15.641844,15.698313,8.218966,123962
1993-10-05,15.811250,15.867719,15.528906,15.585375,8.159833,189264
1993-10-06,15.698313,15.924188,15.641844,15.811250,8.278097,184173
1993-10-07,15.867719,16.206532,15.867719,16.206532,8.485044,336912
1993-10-08,16.206532,16.432405,16.150063,16.375938,8.573740,217820
1993-10-11,16.263000,16.263000,16.037125,16.150063,8.455482,129939
1993-10-12,16.093594,16.093594,15.698313,15.980656,8.366791,222468
1993-10-13,16.037125,16.206532,15.924188,15.980656,8.366791,111566
1993-10-14,15.980656,16.037125,15.980656,16.037125,8.396353,67515
1993-10-15,16.037125,16.093594,15.924188,15.924188,8.337225,77698
1993-10-18,15.924188,16.037125,15.867719,16.037125,8.396353,135473
1993-10-19,15.980656,16.206532,15.980656,16.093594,8.425918,152739
1993-10-20,16.093594,16.150063,15.811250,15.811250,8.278097,224682
1993-10-21,15.924188,15.924188,15.528906,15.528906,8.130273,147205
1993-10-22,15.528906,15.641844,15.077156,15.133625,7.923316,414831
1993-10-25,15.246563,15.359500,15.190094,15.190094,7.952887,331599
1993-10-26,15.359500,15.641844,15.359500,15.528906,8.130273,202546
1993-10-27,15.472438,15.528906,15.472438,15.528906,8.130273,67958
1993-10-28,15.528906,15.585375,15.415969,15.528906,8.130273,86552
1993-10-29,15.415969,15.754781,15.415969,15.698313,8.218966,282678
1993-11-01,15.585375,15.754781,15.585375,15.698313,8.218966,167349
1993-11-02,15.698313,15.754781,15.585375,15.754781,8.248528,128168
1993-11-03,15.754781,15.924188,15.698313,15.811250,8.278097,354621
1993-11-04,15.867719,16.150063,15.867719,15.980656,8.366791,191035
1993-11-05,15.867719,16.093594,15.867719,16.093594,8.425918,144549
1993-11-08,16.037125,16.093594,15.980656,16.037125,8.396353,96292
1993-11-09,16.150063,16.150063,15.980656,15.980656,8.366791,245711
1993-11-10,15.980656,16.319469,15.924188,16.319469,8.544175,275595
1993-11-11,16.263000,16.545343,16.263000,16.488874,8.632864,176868
1993-11-12,16.488874,16.771219,16.488874,16.771219,8.780695,105589
1993-11-15,16.771219,17.618250,16.771219,17.392376,9.105906,345102
1993-11-16,17.392376,17.392376,16.658281,16.658281,8.721565,186165
1993-11-17,16.658281,16.714750,15.924188,16.150063,8.455482,185279
1993-11-18,16.319469,16.319469,15.754781,15.867719,8.307657,138129
1993-11-19,15.754781,15.867719,15.698313,15.867719,8.307657,283343
1993-11-22,15.585375,15.924188,15.528906,15.924188,8.433260,199004
1993-11-23,15.980656,16.827688,15.924188,16.375938,8.672503,283343
1993-11-24,16.375938,16.658281,16.263000,16.601812,8.792120,1005202
1993-11-26,16.714750,16.714750,16.601812,16.658281,8.822032,40730
1993-11-29,16.827688,17.674719,16.771219,17.110031,9.061267,554732
1993-11-30,16.997093,17.505314,16.884155,17.166500,9.091174,487438
1993-12-01,16.940624,17.731188,16.884155,17.335905,9.180888,524405
1993-12-02,17.335905,17.335905,17.110031,17.279438,9.150985,113116
1993-12-03,17.222969,17.279438,17.053562,17.110031,9.061267,170227
1993-12-06,17.053562,17.166500,16.884155,16.997093,9.001464,399336
1993-12-07,16.714750,16.997093,16.658281,16.771219,8.881837,333813
1993-12-08,16.714750,16.714750,16.488874,16.601812,8.792120,309020
1993-12-09,16.545343,17.053562,16.319469,16.601812,8.792120,184615
1993-12-10,16.827688,16.827688,16.545343,16.658281,8.822032,89651
1993-12-13,16.601812,16.601812,16.319469,16.545343,8.762216,186608
1993-12-14,16.658281,16.658281,16.432405,16.488874,8.732308,30105
1993-12-15,16.601812,16.771219,16.432405,16.545343,8.762216,509574
1993-12-16,16.601812,16.601812,16.093594,16.093594,8.522976,168677
1993-12-17,16.150063,16.658281,16.037125,16.545343,8.762216,313669
1993-12-20,16.432405,16.545343,16.263000,16.263000,8.612691,118871
1993-12-21,16.263000,16.771219,16.263000,16.488874,8.732308,189485
1993-12-22,16.432405,16.601812,16.432405,16.432405,8.702402,164471
1993-12-23,16.432405,16.714750,16.432405,16.488874,8.732308,111787
1993-12-27,16.545343,16.714750,16.488874,16.714750,8.851934,107582
1993-12-28,16.601812,16.884155,16.601812,16.827688,8.911746,88545
1993-12-29,16.884155,17.166500,16.658281,17.053562,9.031363,142999
1993-12-30,16.940624,17.053562,16.827688,16.884155,8.941647,64859
1993-12-31,16.827688,17.053562,16.827688,16.884155,8.941647,82789
1994-01-03,16.827688,16.884155,16.658281,16.827688,8.911746,236857
1994-01-04,16.771219,17.448845,16.771219,17.110031,9.061267,418594
1994-01-05,16.884155,16.997093,16.827688,16.827688,8.911746,65523
1994-01-06,16.827688,17.166500,16.827688,16.997093,9.001464,90537
1994-01-07,17.053562,17.053562,16.771219,16.827688,8.911746,88766
1994-01-10,16.940624,17.053562,16.884155,17.053562,9.031363,237742
1994-01-11,16.997093,16.997093,16.827688,16.940624,8.971553,110681
1994-01-12,17.053562,17.505314,17.053562,17.448845,9.240701,409961
1994-01-13,17.505314,17.731188,17.448845,17.505314,9.270604,284228
1994-01-14,17.505314,17.618250,17.505314,17.505314,9.270604,107139
